model_version,training_date,algorithm,feature_list_ref,train_rows,val_metric_recall,val_metric_f1,val_metric_roc_auc,approved_by,notes
<<<<<<< HEAD
candidate_evaluated_baseline_logreg_v20260909_195941,2026-09-09T19:59:41.063068+00:00,baseline_logreg,"['age', 'booking_lead_days', 'distance_to_clinic_km', 'distance_was_missing', 'no_show_rate_history', 'is_first_time_patient', 'is_weekend_appointment', 'long_lead_time', 'gender_Male', 'gender_Prefer not to say', 'age_group_25-34', 'age_group_35-44', 'age_group_45-54', 'age_group_55-64', 'age_group_65+', 'appointment_type_Follow-up', 'appointment_type_General Consultation', 'appointment_type_Specialist Consultation', 'appointment_day_Monday', 'appointment_day_Saturday', 'appointment_day_Sunday', 'appointment_day_Thursday', 'appointment_day_Tuesday', 'appointment_day_Wednesday', 'appointment_time_Evening', 'appointment_time_Morning', 'reminder_sent_Yes', 'reminder_channel_None', 'reminder_channel_SMS', 'reminder_channel_WhatsApp']",3789,0.6294,0.6281,0.6733,"Week 6 integration — evaluated, not selected",Week 6 comparison run v20260909_195941; selection_metric=roc_auc
candidate_recommended_refined_logreg_v20260909_195941,2026-09-09T19:59:41.064378+00:00,refined_logreg,"['age', 'booking_lead_days', 'distance_to_clinic_km', 'distance_was_missing', 'no_show_rate_history', 'is_first_time_patient', 'is_weekend_appointment', 'long_lead_time', 'gender_Male', 'gender_Prefer not to say', 'age_group_25-34', 'age_group_35-44', 'age_group_45-54', 'age_group_55-64', 'age_group_65+', 'appointment_type_Follow-up', 'appointment_type_General Consultation', 'appointment_type_Specialist Consultation', 'appointment_day_Monday', 'appointment_day_Saturday', 'appointment_day_Sunday', 'appointment_day_Thursday', 'appointment_day_Tuesday', 'appointment_day_Wednesday', 'appointment_time_Evening', 'appointment_time_Morning', 'reminder_sent_Yes', 'reminder_channel_None', 'reminder_channel_SMS', 'reminder_channel_WhatsApp']",3789,0.6046,0.6206,0.6734,Week 6 integration — recommended candidate for Data Science review,Week 6 comparison run v20260909_195941; selection_metric=roc_auc
candidate_evaluated_random_forest_v20260909_195941,2026-09-09T19:59:41.159466+00:00,random_forest,"['age', 'booking_lead_days', 'distance_to_clinic_km', 'distance_was_missing', 'no_show_rate_history', 'is_first_time_patient', 'is_weekend_appointment', 'long_lead_time', 'gender_Male', 'gender_Prefer not to say', 'age_group_25-34', 'age_group_35-44', 'age_group_45-54', 'age_group_55-64', 'age_group_65+', 'appointment_type_Follow-up', 'appointment_type_General Consultation', 'appointment_type_Specialist Consultation', 'appointment_day_Monday', 'appointment_day_Saturday', 'appointment_day_Sunday', 'appointment_day_Thursday', 'appointment_day_Tuesday', 'appointment_day_Wednesday', 'appointment_time_Evening', 'appointment_time_Morning', 'reminder_sent_Yes', 'reminder_channel_None', 'reminder_channel_SMS', 'reminder_channel_WhatsApp']",3789,0.6253,0.6279,0.6724,"Week 6 integration — evaluated, not selected",Week 6 comparison run v20260909_195941; selection_metric=roc_auc
=======
v20260904_191801,2026-09-04T19:18:01.327911+00:00,LogisticRegression (baseline smoke-test),"['age', 'booking_lead_days', 'previous_appointments', 'previous_no_shows', 'distance_to_clinic_km', 'distance_was_missing', 'no_show_rate_history', 'is_first_time_patient', 'is_weekend_appointment', 'long_lead_time', 'gender_Male', 'gender_Prefer not to say', 'age_group_25-34', 'age_group_35-44', 'age_group_45-54', 'age_group_55-64', 'age_group_65+', 'appointment_type_Follow-up', 'appointment_type_General Consultation', 'appointment_type_Specialist Consultation', 'appointment_day_Monday', 'appointment_day_Saturday', 'appointment_day_Sunday', 'appointment_day_Thursday', 'appointment_day_Tuesday', 'appointment_day_Wednesday', 'appointment_time_Evening', 'appointment_time_Morning', 'reminder_sent_Yes', 'reminder_channel_None', 'reminder_channel_SMS', 'reminder_channel_WhatsApp']",3789,0.6273,0.6247,0.6766,not approved — Week 5 pipeline smoke test only,Time-aware split; excludes waiting_time_minutes/appointment_id/patient_id. Final model selection is the Data Science track's responsibility.
v20260904_202906,2026-09-04T20:29:06.612847+00:00,LogisticRegression (baseline smoke-test),"['age', 'booking_lead_days', 'previous_appointments', 'previous_no_shows', 'distance_to_clinic_km', 'distance_was_missing', 'no_show_rate_history', 'is_first_time_patient', 'is_weekend_appointment', 'long_lead_time', 'gender_Male', 'gender_Prefer not to say', 'age_group_25-34', 'age_group_35-44', 'age_group_45-54', 'age_group_55-64', 'age_group_65+', 'appointment_type_Follow-up', 'appointment_type_General Consultation', 'appointment_type_Specialist Consultation', 'appointment_day_Monday', 'appointment_day_Saturday', 'appointment_day_Sunday', 'appointment_day_Thursday', 'appointment_day_Tuesday', 'appointment_day_Wednesday', 'appointment_time_Evening', 'appointment_time_Morning', 'reminder_sent_Yes', 'reminder_channel_None', 'reminder_channel_SMS', 'reminder_channel_WhatsApp']",3789,0.6273,0.626,0.6769,not approved — Week 5 pipeline smoke test only,Time-aware split; excludes waiting_time_minutes/appointment_id/patient_id. Final model selection is the Data Science track's responsibility.
>>>>>>> origin/main
